TITLE,
DATA TYPE,INFRARED SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,24/04/24
TIME,14:49:50
SPECTROMETER/DATA SYSTEM,
LOCALE,1033
RESOLUTION,
DELTAX,0.964233
XUNITS,1/CM
YUNITS,TRANSMITTANCE
FIRSTX,  649.8934
LASTX, 4000.6047
NPOINTS,    3476
FIRSTY,    99.19228
MAXY,   101.69474
MINY,    80.97994
XYDATA
649.8934,99.1923
650.8576,99.2012
651.8218,99.2279
652.7861,99.2563
653.7503,99.2567
654.7145,99.2096
655.6788,99.1193
656.6430,99.0098
657.6072,98.9084
658.5715,98.8281
659.5357,98.7631
660.4999,98.7014
661.4642,98.6435
662.4284,98.6112
663.3926,98.6397
664.3569,98.7674
665.3211,99.0275
666.2853,99.4296
667.2496,99.8953
668.2138,100.2
669.1780,100.151
670.1423,99.8634
671.1065,99.5846
672.0707,99.4347
673.0350,99.4213
673.9992,99.5103
674.9634,99.656
675.9277,99.8155
676.8919,99.9618
677.8561,100.089
678.8204,100.2
679.7846,100.296
680.7488,100.371
681.7131,100.418
682.6773,100.445
683.6415,100.467
684.6058,100.498
685.5700,100.537
686.5342,100.568
687.4985,100.573
688.4627,100.541
689.4269,100.479
690.3912,100.408
691.3554,100.353
692.3196,100.323
693.2839,100.307
694.2481,100.285
695.2123,100.244
696.1766,100.18
697.1408,100.099
698.1050,100.014
699.0693,99.9447
700.0335,99.9079
700.9977,99.907
701.9620,99.9318
702.9262,99.9634
703.8904,99.9816
704.8547,99.9731
705.8189,99.9351
706.7831,99.8744
707.7474,99.8038
708.7116,99.7368
709.6758,99.6844
710.6401,99.6528
711.6043,99.6444
712.5685,99.658
713.5328,99.691
714.4970,99.7401
715.4612,99.7732
716.4255,99.8446
717.3897,99.9148
718.3539,99.9719
719.3182,100.004
720.2824,100.005
721.2466,99.9808
722.2109,99.9444
723.1751,99.9123
724.1393,99.895
725.1036,99.8942
726.0678,99.9044
727.0320,99.9165
727.9963,99.9226
728.9605,99.9195
729.9247,99.9104
730.8890,99.9021
731.8532,99.9015
732.8174,99.9115
733.7817,99.9396
734.7459,99.9798
735.7101,100.007
736.6744,100.016
737.6386,100.011
738.6028,100.004
739.5671,100.004
740.5313,100.017
741.4955,100.04
742.4598,100.061
743.4240,100.074
744.3882,100.073
745.3525,100.062
746.3167,100.047
747.2809,100.034
748.2452,100.03
749.2094,100.039
750.1736,100.064
751.1379,100.104
752.1021,100.151
753.0663,100.197
754.0306,100.228
754.9948,100.239
755.9590,100.229
756.9233,100.204
757.8875,100.172
758.8517,100.139
759.8160,100.106
760.7802,100.076
761.7444,100.052
762.7087,100.041
763.6729,100.049
764.6371,100.077
765.6014,100.119
766.5656,100.163
767.5298,100.196
768.4941,100.209
769.4583,100.202
770.4225,100.184
771.3868,100.164
772.3510,100.153
773.3152,100.156
774.2795,100.172
775.2437,100.198
776.2079,100.226
777.1722,100.25
778.1364,100.263
779.1006,100.263
780.0649,100.251
781.0291,100.232
781.9933,100.214
782.9576,100.202
783.9218,100.198
784.8860,100.201
785.8503,100.203
786.8145,100.197
787.7787,100.177
788.7430,100.143
789.7072,100.097
790.6714,100.045
791.6357,99.9953
792.5999,99.9523
793.5641,99.9188
794.5284,99.8942
795.4926,99.8756
796.4568,99.8591
797.4211,99.8406
798.3853,99.8169
799.3495,99.7848
800.3138,99.7419
801.2780,99.6873
802.2422,99.6225
803.2065,99.5527
804.1707,99.486
805.1349,99.4321
806.0992,99.399
807.0634,99.3907
808.0276,99.4057
808.9919,99.4379
809.9561,99.4787
810.9203,99.5204
811.8846,99.558
812.8488,99.5907
813.8130,99.6207
814.7773,99.6515
815.7415,99.6871
816.7057,99.7298
817.6700,99.7799
818.6342,99.8353
819.5984,99.8912
820.5627,99.9421
821.5269,99.983
822.4911,100.012
823.4554,100.03
824.4196,100.042
825.3839,100.054
826.3481,100.07
827.3123,100.088
828.2766,100.105
829.2408,100.122
830.2050,100.126
831.1693,100.113
832.1335,100.088
833.0977,100.059
834.0620,100.036
835.0262,100.025
835.9904,100.028
836.9547,100.038
837.9189,100.044
838.8831,100.04
839.8474,100.019
840.8116,99.9843
841.7758,99.9422
842.7401,99.8998
843.7043,99.8621
844.6685,99.8301
845.6328,99.8006
846.5970,99.7676
847.5612,99.7245
848.5255,99.6672
849.4897,99.5969
850.4539,99.5201
851.4182,99.446
852.3824,99.3822
853.3466,99.3298
854.3109,99.2836
855.2751,99.2356
856.2393,99.1806
857.2036,99.12
858.1678,99.0608
859.1320,99.0104
860.0963,98.9718
861.0605,98.9423
862.0247,98.9157
862.9890,98.8867
863.9532,98.8534
864.9174,98.8167
865.8817,98.7777
866.8459,98.7364
867.8101,98.6912
868.7744,98.6407
869.7386,98.5842
870.7028,98.5228
871.6671,98.458
872.6313,98.3928
873.5955,98.3311
874.5598,98.2774
875.5240,98.2347
876.4882,98.202
877.4525,98.1735
878.4167,98.1406
879.3809,98.0965
880.3452,98.0396
881.3094,97.9735
882.2736,97.9041
883.2379,97.8347
884.2021,97.7651
885.1663,97.6925
886.1306,97.6157
887.0948,97.5361
888.0590,97.4571
889.0233,97.38
889.9875,97.3025
890.9517,97.2205
891.9160,97.1322
892.8802,97.0423
893.8444,96.9614
894.8087,96.9018
895.7729,96.871
896.7371,96.8685
897.7014,96.8868
898.6656,96.9163
899.6298,96.9501
900.5941,96.9861
901.5583,97.0253
902.5225,97.0685
903.4868,97.1145
904.4510,97.16
905.4152,97.2016
906.3795,97.2369
907.3437,97.2644
908.3079,97.2822
909.2722,97.2872
910.2364,97.2768
911.2006,97.2507
912.1649,97.2127
913.1291,97.1695
914.0933,97.1272
915.0576,97.0879
