Time,Temperature,Weight,Deriv. Weight,Catalyst,temp
0.0,39.62,98.839,-0.864447,PtC,350
0.003333333,39.62111111,98.838,-0.891926,PtC,350
0.006666667,39.62222222,98.838,-0.887299,PtC,350
0.01,39.62333333,98.838,-0.902372,PtC,350
0.011428571,39.62444444,98.837,-0.885974,PtC,350
0.012857143,39.62555556,98.837,-0.868679,PtC,350
0.014285714,39.62666667,98.837,-0.860244,PtC,350
0.015714286,39.62777778,98.836,-0.842128,PtC,350
0.017142857,39.62888889,98.836,-0.839066,PtC,350
0.018571429,39.62923372,98.836,-0.852755,PtC,350
0.02,39.62957854,98.835,-0.881083,PtC,350
0.022,39.62992337,98.835,-0.916564,PtC,350
0.024,39.6302682,98.835,-0.927243,PtC,350
0.026,39.63061303,98.834,-0.945494,PtC,350
0.028,39.63095785,98.834,-0.959769,PtC,350
0.03,39.63130268,98.834,-0.982802,PtC,350
0.031428571,39.63164751,98.833,-1.03972,PtC,350
0.032857143,39.63199234,98.833,-1.04119,PtC,350
0.034285714,39.63233716,98.833,-1.00012,PtC,350
0.035714286,39.63268199,98.832,-0.951076,PtC,350
0.037142857,39.63302682,98.832,-0.904174,PtC,350
0.038571429,39.63337165,98.832,-0.901122,PtC,350
0.04,39.63371648,98.831,-0.894815,PtC,350
0.042,39.6340613,98.831,-0.871273,PtC,350
0.044,39.63440613,98.831,-0.854896,PtC,350
0.046,39.63475096,98.83,-0.822182,PtC,350
0.048,39.63509579,98.83,-0.755886,PtC,350
0.05,39.63544061,98.83,-0.680217,PtC,350
0.051428571,39.63578544,98.83,-0.611549,PtC,350
0.052857143,39.63613027,98.829,-0.596644,PtC,350
0.054285714,39.6364751,98.829,-0.604317,PtC,350
0.055714286,39.63681992,98.829,-0.563512,PtC,350
0.057142857,39.63716475,98.829,-0.53815,PtC,350
0.058571429,39.63750958,98.829,-0.483826,PtC,350
0.06,39.63785441,98.829,-0.441891,PtC,350
0.062,39.63819923,98.828,-0.418017,PtC,350
0.064,39.63854406,98.828,-0.350708,PtC,350
0.066,39.63888889,98.828,-0.336534,PtC,350
0.068,39.63930556,98.828,-0.340552,PtC,350
0.07,39.63972222,98.828,-0.366176,PtC,350
0.071666667,39.64013889,98.828,-0.383506,PtC,350
0.073333333,39.64055556,98.828,-0.345305,PtC,350
0.075,39.64097222,98.827,-0.312457,PtC,350
0.076666667,39.64138889,98.827,-0.272153,PtC,350
0.078333333,39.64180556,98.827,-0.244464,PtC,350
0.08,39.64222222,98.827,-0.202412,PtC,350
0.081428571,39.64263889,98.827,-0.155291,PtC,350
0.082857143,39.64305556,98.827,-0.119495,PtC,350
0.084285714,39.64347222,98.827,-0.0904028,PtC,350
0.085714286,39.64388889,98.827,-0.0816591,PtC,350
0.087142857,39.64430556,98.827,-0.0708226,PtC,350
0.088571429,39.64472222,98.827,-0.054389,PtC,350
0.09,39.64513889,98.827,-0.0253473,PtC,350
0.091666667,39.64555556,98.827,0.0183267,PtC,350
0.093333333,39.64597222,98.827,0.0743042,PtC,350
0.095,39.64638889,98.827,0.108668,PtC,350
0.096666667,39.64680556,98.827,0.107614,PtC,350
0.098333333,39.64722222,98.827,0.096941,PtC,350
0.1,39.64763889,98.827,0.114417,PtC,350
0.102,39.64805556,98.827,0.138437,PtC,350
0.104,39.64847222,98.827,0.177342,PtC,350
0.106,39.64888889,98.827,0.201484,PtC,350
0.108,39.64955556,98.827,0.225444,PtC,350
0.11,39.65022222,98.828,0.278253,PtC,350
0.111666667,39.65088889,98.828,0.339332,PtC,350
0.113333333,39.65155556,98.828,0.406118,PtC,350
0.115,39.65222222,98.828,0.451419,PtC,350
0.116666667,39.65288889,98.829,0.481438,PtC,350
0.118333333,39.65355556,98.829,0.502668,PtC,350
0.12,39.65422222,98.829,0.54203,PtC,350
0.121666667,39.65488889,98.83,0.571079,PtC,350
0.123333333,39.65555556,98.83,0.571459,PtC,350
0.125,39.65622222,98.83,0.55317,PtC,350
0.126666667,39.65688889,98.831,0.54453,PtC,350
0.128333333,39.65755556,98.831,0.558612,PtC,350
0.13,39.65822222,98.832,0.584422,PtC,350
0.131666667,39.65888889,98.832,0.610235,PtC,350
0.133333333,39.65988889,98.833,0.628425,PtC,350
0.135,39.66088889,98.833,0.645843,PtC,350
0.136666667,39.66188889,98.834,0.649386,PtC,350
